timer,temp,vibX,vibY,vibZ,magnitude,rms,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:49:53,32.13,-9.728,-3.648,-1.491,10.496,6.06,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:49:59,32.17,-9.728,-3.687,-1.569,10.521,6.074,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:50:05,31.57,-9.767,-3.648,-1.53,10.538,6.084,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:50:10,30.79,-9.807,-3.609,-1.608,10.573,6.104,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:50:14,30.43,-9.767,-3.648,-1.491,10.532,6.081,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:50:18,30.43,-9.689,-3.687,-1.53,10.479,6.05,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:50:23,30.37,-9.689,-3.648,-1.648,10.483,6.053,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:50:32,30.31,-9.689,-3.57,-1.569,10.444,6.03,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:50:33,30.71,-9.689,-3.687,-1.569,10.485,6.053,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:50:39,30.77,-9.846,-3.687,-1.569,10.63,6.137,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:50:45,30.77,-9.767,-3.648,-1.569,10.544,6.088,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:50:51,31.75,-9.728,-3.687,-1.491,10.51,6.068,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:50:55,31.11,-9.767,-3.687,-1.53,10.552,6.092,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:51:03,30.91,-9.728,-3.648,-1.608,10.513,6.07,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:51:07,31.01,-9.767,-3.687,-1.53,10.552,6.092,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:51:13,30.99,-9.807,-3.648,-1.569,10.58,6.108,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:51:20,30.17,-9.728,-3.687,-1.491,10.51,6.068,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:51:29,31.13,-9.767,-3.648,-1.569,10.544,6.088,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:51:34,31.13,-9.728,-3.609,-1.491,10.483,6.052,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:51:40,31.05,-9.728,-3.687,-1.491,10.51,6.068,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:51:48,30.03,-9.689,-3.648,-1.569,10.471,6.046,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:51:53,30.87,-9.728,-3.687,-1.53,10.515,6.071,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:51:59,30.65,-9.728,-3.727,-1.569,10.535,6.082,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:52:05,30.81,-9.767,-3.648,-1.608,10.55,6.091,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:52:09,30.53,-9.767,-3.687,-1.608,10.563,6.099,,,,,,,,,,,,,,,,,,,,,
